店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
和食個室居酒屋 一歩 新宿西口店,050-5492-3590,,東京都,新宿区,西新宿1-18-5,中沖ビルB1,,
九州料理×個室居酒屋 九蔵 新宿西口店,050-5486-4464,,東京都,新宿区,西新宿1-16-12,第一清新ビル4F,,
全席完全個室居酒屋 酒槽 新宿西口店,050-5492-1406,,東京都,新宿区,西新宿1-16-11,AIビル3F,,
全席個室居酒屋 焼き鳥の絆 新宿東口店,050-5488-7729,,東京都,新宿区,歌舞伎町1-23-12,第10NKビル4F,,
海鮮・もつ鍋・焼鳥 3時間食べ飲み個室居酒屋 豪快や 新宿店,050-5492-5756,,東京都,新宿区,歌舞伎町1-17-7,B1,,
仙台牛タンと牛タンしゃぶしゃぶ 個室居酒屋 うまか 新宿店,050-5488-4070,,東京都,新宿区,新宿3-31-5,新宿ペガサス館5F,,
全100種食べ放題飲み放題 個室居酒屋 鶏三昧 新宿東口店,050-5492-2529,,東京都,新宿区,歌舞伎町1-17-5,Jビル3F,,
北海道直送鮮魚と日本酒 完全個室居酒屋 あばれ鮮魚 新宿店,050-5485-9630,,東京都,新宿区,新宿3-36-13,Mビル6F,,
串焼きと野菜巻きと九州料理の個室居酒屋 串ばってん 新宿店,050-5485-9590,,東京都,新宿区,新宿3-36-13,Mビル6F,,
鍋と鳥料理専門店 個室居酒屋 とっとり 新宿本店,050-5494-6441,,東京都,新宿区,歌舞伎町1-6-3,東海苑ビル7F,,
焼き鳥食べ放題 完全個室居酒屋 鳥三平 新宿店,050-5488-1145,,東京都,新宿区,新宿3-31-5,B1,,
【個室完備】焼き鳥野郎 新宿西口店,050-5492-0646,,東京都,新宿区,西新宿7-5-6,新宿ダイカンプラザ756 2F,,
肉寿司 食べ放題 個室居酒屋 KJミートダイニング 新宿西口店,050-5494-6611,,東京都,新宿区,西新宿1-14-3,2F,,
完全個室 47都道府県名物 本格鍋専門店 鍋っこ 新宿本店,080-4899-8939,,東京都,新宿区,歌舞伎町1-15-8,丸雄ビル4F,,
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 新宿歌舞伎町店,050-5492-3154,,東京都,新宿区,歌舞伎町1-14-3,川新ビル7F,,
仙台牛タン酒場 たんや 奥村 新宿本店,050-5488-4764,,東京都,新宿区,西新宿1-15-2,第5オムニクスビルB1,,
炉端焼きと海鮮とおでん 完全個室居酒屋 はなこま 新宿三丁目店,050-5492-7879,,東京都,新宿区,新宿3-6-13,石井ビル4F・RF,,
仙台牛タン酒場 たんや 奥村 新宿本店,050-5488-4764,,東京都,新宿区,西新宿1-15-2,第5オムニクスビルB1,,
焼き鳥＆しゃぶしゃぶ食べ放題 個室居酒屋 酔月 新宿駅前店,050-5492-0272,,東京都,新宿区,歌舞伎町1-17-5,第二安田ビル4F,,
個室空間 湯葉豆腐料理 千年の宴 歌舞伎町輝ビル店,03-3202-2788,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビルB1,,
完全個室 チャイニーズダイニング 好来 代々木店,050-5485-7803,,東京都,渋谷区,千駄ヶ谷5-24-3,NTTドコモ代々木ビルアネックス2F,,
個室空間 湯葉豆腐料理 千年の宴 新宿東口駅前店,03-3358-9588,,東京都,新宿区,新宿3-27-10,武蔵野ビルB2,,
おでん×厳選日本酒 酒場845 新宿三丁目店,050-5487-0482,,東京都,新宿区,新宿3-10-5,エリート50ビル1F,,
100円寿司と天ぷらの海鮮酒場 海のちから 新宿東口店,050-5486-4664,,東京都,新宿区,歌舞伎町1-18-7,新宿第一ビル,,
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034,,東京都,新宿区,西新宿1-18-5,甲新ビル5F,,
俺の串かつ黒田×炭火焼鳥めでた家 歌舞伎町輝ビル店,03-3205-7688,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビル3F,,
～47都道府県の日本酒勢揃い～ 夢酒 新宿本店,050-5486-3770,,東京都,新宿区,歌舞伎町2-39-5,エムティティ新宿2F,,
居楽屋白木屋 歌舞伎町輝ビル店,03-5272-2388,,東京都,新宿区,歌舞伎町1-15-3,歌舞伎町輝ビル5F,,
居楽屋白木屋 歌舞伎町総本店,03-3209-6788,,東京都,新宿区,歌舞伎町1-21-1,第二東亜会館,,
九州料理と完全個室 美味か 新宿店,050-5486-9417,,東京都,新宿区,新宿4-1-13,田園新宿ビル4F,,
寿司・肉寿司・焼鳥食べ放題 個室和食処 もてなしや 新宿本店,03-5357-7305,,東京都,新宿区,新宿3-27-5,ケースリービル5F,,
近江屋 新宿西口店,050-5494-5463,,東京都,新宿区,西新宿1-4-5,明広ビル3F,,
山内農場 新宿西口駅前店,03-3342-3988,,東京都,新宿区,西新宿1-15-2,第5オムニクスビル4F,,
寿司・肉寿司・焼鳥食べ放題 個室和食処 もてなしや 新宿本店,03-5357-7305,,東京都,新宿区,新宿3-27-5,ケースリービル5F,,
鍋と鳥料理専門店 個室居酒屋 とっとり 新宿本店,050-5494-6441,,東京都,新宿区,歌舞伎町1-6-3,東海苑ビル7F,,
カラオケパセラ新宿本店,050-5485-7002,shinjuku@pasela.co.jp,東京都,新宿区,歌舞伎町1-3-16,パセラリゾーツ2F・4F～5F,,
